Time,Temperature,Change in Length
964.0551148,949.883606,123.5253067
964.954834,949.7509766,123.530777
965.8552246,949.9447632,123.4733048
966.7548218,949.9378052,123.4705658
967.6551514,950.0412598,123.5061493
968.5545654,949.9252319,123.4185638
969.4555054,949.883606,123.3966675
970.354187,950.0767212,123.4568787
971.2544556,949.883606,123.4459305
971.3343506,950.0579224,123.4267731
971.3373413,949.9378052,123.4213028
971.3670654,949.9121094,123.4514084
971.4042969,949.789917,123.3172913
971.4414063,949.1181641,123.1284409
971.4785767,948.4215698,122.9943237
971.5158691,947.6662598,122.611145
971.5529785,944.6664429,121.8885803
971.5901489,941.7542725,121.7052002
971.6273804,941.3600464,121.8447876
971.6644898,941.7089233,121.863945
971.7017212,941.6538696,121.743515
971.7390137,940.8034668,121.5437164
971.7761841,940.046936,121.3220215
971.821106,938.7849121,121.1003189
971.8505859,938.2252197,120.7609329
971.8878174,935.6381226,120.2326889
971.9249268,934.0217896,120.076683
971.9622192,933.5162354,120.1177368
971.9993897,933.4998169,120.0876312
972.0365601,933.0075684,119.9179382
972.0730591,931.892273,119.6798019
972.1102905,931.1658936,119.4800186
972.1473999,930.4332886,119.3185349
972.1846924,929.5182495,119.0995865
972.2218628,928.2982788,118.850502
972.2590332,927.4119263,118.634285
972.3061523,926.2462769,118.4043732
972.3325195,925.7039795,118.2045746
972.3696289,923.5730591,117.6900177
972.4068604,921.8659668,117.5230484
972.4440308,921.4824829,117.5175858
972.4811401,921.4633179,117.5011749
972.5183716,920.8840332,117.306839
972.555542,920.019043,117.065979
972.5926514,918.8736572,116.7977524
972.6298828,918.0990601,116.6198502
972.6670532,917.0828857,116.4419403
972.7042236,916.0021362,116.2175064
972.741394,915.3051758,115.9492798
972.7785645,914.3536987,115.7357941
972.8206177,912.776062,115.4347229
972.8525391,912.085144,115.1528168
972.8897095,910.1279297,114.8818512
972.9268189,909.6847534,114.7997437
972.9641113,909.3027344,114.6492081
973.0012817,908.6239624,114.5096207
973.0384522,907.8926392,114.2879181
973.0756836,906.5180054,114.0224304
973.112915,906.0739136,113.8116837
973.1501465,905.0415039,113.6693726
973.1873169,903.5608521,113.0918503
973.2244873,901.6517944,112.8509979
973.2745361,900.6245728,112.7880402
973.298645,900.9718018,112.7634125
973.3358765,900.1333008,112.5800324
973.3730469,899.3418579,112.3337097
973.4102173,898.5496826,112.0955811
973.4473877,897.6624756,111.9231491
973.4846191,896.411438,111.641243
973.5217896,895.5042114,111.4140701
973.55896,894.4686279,111.1868973
973.5961914,893.7442017,111.0035172
973.6333008,893.114563,110.8310852
973.6704712,892.1246338,110.5874939
973.7078247,890.6645508,110.0455551
973.7449341,888.6657105,109.7089157
973.7820435,887.8251343,109.6870194
973.8218384,886.9486694,109.6103821
973.8570557,886.9454346,109.4817429
973.8942871,886.1959839,109.2792053
973.9315186,885.5358887,109.0657196
973.9686279,884.536499,108.8631897
974.0057983,883.4415283,108.5457001
974.0430298,882.4581909,108.2583008
974.0802002,881.1260376,108.0749359
